City,State,Percent of households with a computer,Percent of households with high-speed Internet
Owensboro, KY,85.5,76.4
Oxnard, CA,90.9,82.2
Palm Bay, FL,92.1,83.5
Panama City, FL,87.5,78.6
Parkersburg, WV,88.3,77.1
Pensacola, FL,88.9,81
Peoria, IL,87.4,78
Philadelphia, PA,90.2,82.2
Phoenix, AZ,87.3,77.3
Pine Bluff, AR,81.5,58.6
Pittsburgh, PA,87.6,79.9
Pittsfield, MA,87,79.1
Pocatello, ID,94.1,81.9
Port St. Lucie, FL,87,78.9
Portland, ME,91.7,84.1
Portland, OR,93.6,85.9
Prescott, AZ,88.6,77.9
Providence, RI,88.5,82.4
Provo, UT,96.7,87.1
Pueblo, CO,85.2,70.1
Punta Gorda, FL,88.8,76.9
Racine, WI,86.2,80
Raleigh, NC,93.7,84.3
Rapid City, SD,91.1,78.7
Reading, PA,88,79.9
Redding, CA,85.2,75.5
Reno, NV,90.1,80.6
Richmond, VA,89.3,78.8
Riverside, CA,90.2,79.4
Roanoke, VA,85.8,76.7
Rochester, MN,92.5,85.9
Rochester, NY,87.6,79
Rockford, IL,87.5,78.7
Rocky Mount, NC,79.7,62.9
Rome, GA,85.7,73.2
Sacramento, CA,91.8,81.2
Saginaw, MI,83.4,72.8
Salem, OR,90.8,79.1
Salinas, CA,84.6,74.1
Salisbury, MD,88.3,73.8
Salt Lake City, UT,94.8,81.7
San Angelo, TX,85.1,74.9
San Antonio, TX,87,75.6
San Diego, CA,92.1,85.3
San Francisco, CA,93.4,86.7
San Jose, CA,94.4,88.5
San Luis Obispo, CA,93.3,83.8
Santa Cruz, CA,92,83.7
Santa Fe, NM,88.6,73.8
Santa Maria, CA,85.7,74.9
Santa Rosa, CA,92.7,85.2
Savannah, GA,87.4,76.8
Scranton, PA,85.5,75.4
Seattle, WA,93.8,86.4
Sebastian, FL,88.6,78.7
Sebring, FL,75.7,64.7
Sheboygan, WI,88.9,81.6
Sherman, TX,89.4,70.5
Shreveport, LA,81.1,67.5
Sierra Vista, AZ,88.9,78.6
Sioux City, IA,86,71.9
Sioux Falls, SD,91.7,80.5
South Bend, IN,86.6,73.8
Spartanburg, SC,85.8,75.5
Spokane, WA,91,82.3
Springfield, IL,92.1,81.7
Springfield, MA,87.8,80.5
Springfield, MO,87.4,71.9
Springfield, OH,86.2,75
St. Cloud, MN,91.7,79.7
St. George, UT,95.4,83.4
St. Joseph, MO,86.3,72.5
St. Louis, MO,89.2,80.2
State College, PA,90,85.1
Staunton, VA,81.8,69.5
Stockton, CA,87.5,77.2
Sumter, SC,82.9,71.9
Syracuse, NY,88.6,81.1
Tallahassee, FL,91,77.7
Tampa, FL,88.4,80.7
Terre Haute, IN,84.4,71
Texarkana, TX,83.3,66.6
The Villages, FL,91,80.7
Toledo, OH,89.4,77.6
Topeka, KS,87.7,76.2
Trenton, NJ,90.9,84.1
Tucson, AZ,89.6,78.4
Tulsa, OK,86.8,74.8
Tuscaloosa, AL,81.4,73.3
Tyler, TX,88.6,79.1
Urban Honolulu, HI,92.7,85.2
Utica, NY,85.3,76.1
Valdosta, GA,83.8,71
Vallejo, CA,90.9,83.7
Victoria, TX,80.8,68.9
Vineland, NJ,88.5,75.8
Virginia Beach, VA,91.4,82.5
Visalia, CA,75.7,61.9
Waco, TX,84.6,65.5
Walla Walla, WA,85.7,74.4
Warner Robins, GA,84.1,75.3
Washington, DC,94.1,87
Waterloo, IA,89.8,84.1
Watertown, NY,92.5,82.1
Wausau, WI,87.5,78.8
Weirton, WV,82.2,71.7
Wenatchee, WA,89.3,69.2
Wheeling, WV,84.8,74.7
Wichita, KS,87.7,76.4
Wichita Falls, TX,88.6,75.9
Williamsport, PA,84,71.9
Wilmington, NC,88.5,78.3
Winchester, VA,84.8,70.4
Winston, NC,84.3,74.9
Worcester, MA,91.8,84.3
Yakima, WA,80.4,68.3
York, PA,86.9,77.4
Youngstown, OH,83.6,70.5
Yuba City, CA,89.4,75.3
Yuma, AZ,81.3,67.5
